  9809     SPring-8 14b2 
 Ir-L21_IrO2_Si  20.07.15 17:56 - 20.07.15 18:08
 IrO2                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 17.83300 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6554
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.64500  14.67000    -0.000460       0.10      6554
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    55.800    60.800
  17.39430  17.41177     0.100      5047     23199
  17.39384  17.41132     0.100      5038     23159
  17.39338  17.41082     0.100      5037     23157
  17.39292  17.41031     0.100      5051     23220
  17.39246  17.40981     0.100      5047     23208
  17.39200  17.40933     0.100      5041     23196
  17.39154  17.40884     0.100      5043     23187
  17.39108  17.40834     0.100      5039     23181
  17.39062  17.40782     0.100      5054     23257
  17.39016  17.40733     0.100      5039     23186
  17.38970  17.40686     0.100      5037     23194
  17.38924  17.40641     0.100      5055     23279
  17.38878  17.40596     0.100      5033     23175
  17.38832  17.40552     0.100      5051     23248
  17.38786  17.40508     0.100      5018     23095
  17.38740  17.40467     0.100      5042     23224
  17.38694  17.40429     0.100      5056     23286
  17.38648  17.40392     0.100      5023     23149
  17.38602  17.40354     0.100      5048     23265
  17.38556  17.40314     0.100      5023     23139
  17.38510  17.40274     0.100      5047     23249
  17.38464  17.40233     0.100      5035     23217
  17.38418  17.40192     0.100      5018     23141
  17.38372  17.40148     0.100      5050     23300
  17.38326  17.40100     0.100      5021     23174
  17.38280  17.40048     0.100      5042     23271
  17.38234  17.39997     0.100      5022     23174
  17.38188  17.39948     0.100      5025     23199
  17.38142  17.39899     0.100      5045     23274
  17.38096  17.39849     0.100      5027     23203
  17.38050  17.39798     0.100      5039     23267
  17.38004  17.39748     0.100      5019     23178
  17.37958  17.39701     0.100      5051     23315
  17.37912  17.39654     0.100      5029     23235
  17.37866  17.39610     0.100      5023     23199
